buy_threshold,wait_threshold,rows,buy_now_rows,uncertain_rows,wait_rows,buy_now_rate,uncertain_rate,wait_rate,decisive_rate,buy_now_actual_drop_rate,uncertain_actual_drop_rate,wait_actual_drop_rate,avg_conservative_saving_decisive_rows,avg_conservative_saving_all_rows,pct_pays_more_decisive_rows,pct_wait_pays_more_conservative,horizon
0.075,0.45,255671,96608,133101,25962,0.3779,0.5206,0.1015,0.4794,0.0397,0.2115,0.5808,2.3951,1.1482,0.0336,0.1586,7
0.075,0.475,255671,96608,136515,22548,0.3779,0.5339,0.0882,0.4661,0.0397,0.218,0.5977,2.2755,1.0605,0.0292,0.1546,7
0.075,0.5,255671,96608,139589,19474,0.3779,0.546,0.0762,0.454,0.0397,0.224,0.6146,2.1399,0.9716,0.0254,0.1516,7
0.075,0.525,255671,96608,142408,16655,0.3779,0.557,0.0651,0.443,0.0397,0.2296,0.6322,2.0178,0.8939,0.0219,0.1493,7
0.075,0.55,255671,96608,144926,14137,0.3779,0.5668,0.0553,0.4332,0.0397,0.2349,0.6494,1.8876,0.8176,0.0188,0.1469,7
0.075,0.575,255671,96608,147119,11944,0.3779,0.5754,0.0467,0.4246,0.0397,0.24,0.6633,1.7124,0.7271,0.0162,0.1472,7
0.075,0.6,255671,96608,149105,9958,0.3779,0.5832,0.0389,0.4168,0.0397,0.2444,0.6822,1.5397,0.6418,0.0136,0.1456,7
0.075,0.625,255671,96608,150793,8270,0.3779,0.5898,0.0323,0.4102,0.0397,0.248,0.7062,1.3864,0.5687,0.0111,0.1412,7
0.075,0.65,255671,96608,152184,6879,0.3779,0.5952,0.0269,0.4048,0.0397,0.2509,0.7331,1.2611,0.5104,0.009,0.1359,7
0.075,0.675,255671,96608,153391,5672,0.3779,0.6,0.0222,0.4,0.0397,0.2538,0.7576,1.1388,0.4556,0.0072,0.1301,7
0.075,0.7,255671,96608,154362,4701,0.3779,0.6038,0.0184,0.3962,0.0397,0.2562,0.7828,1.0197,0.4041,0.0057,0.1219,7
0.075,0.725,255671,96608,155250,3813,0.3779,0.6072,0.0149,0.3928,0.0397,0.2587,0.8059,0.8897,0.3495,0.0044,0.1151,7
0.075,0.75,255671,96608,156029,3034,0.3779,0.6103,0.0119,0.3897,0.0397,0.261,0.8253,0.7678,0.2992,0.0033,0.1084,7
0.075,0.775,255671,96608,156687,2376,0.3779,0.6128,0.0093,0.3872,0.0397,0.2631,0.8464,0.6567,0.2542,0.0024,0.0993,7
0.075,0.8,255671,96608,157236,1827,0.3779,0.615,0.0071,0.385,0.0397,0.2649,0.8654,0.5386,0.2074,0.0018,0.0969,7
0.075,0.825,255671,96608,157673,1390,0.3779,0.6167,0.0054,0.3833,0.0397,0.2665,0.8763,0.443,0.1698,0.0012,0.0878,7
0.075,0.85,255671,96608,158100,963,0.3779,0.6184,0.0038,0.3816,0.0397,0.268,0.891,0.3358,0.1282,0.0009,0.0862,7
0.075,0.875,255671,96608,158449,614,0.3779,0.6197,0.0024,0.3803,0.0397,0.2694,0.8941,0.2232,0.0849,0.0004,0.07,7
0.075,0.9,255671,96608,158722,341,0.3779,0.6208,0.0013,0.3792,0.0397,0.2704,0.915,0.1363,0.0517,0.0002,0.0674,7
0.1,0.45,255671,119424,110285,25962,0.4671,0.4314,0.1015,0.5686,0.0485,0.2375,0.5808,2.0192,1.1482,0.0283,0.1586,7
0.1,0.475,255671,119424,113699,22548,0.4671,0.4447,0.0882,0.5553,0.0485,0.2445,0.5977,1.9098,1.0605,0.0245,0.1546,7
0.1,0.5,255671,119424,116773,19474,0.4671,0.4567,0.0762,0.5433,0.0485,0.251,0.6146,1.7884,0.9716,0.0213,0.1516,7
0.1,0.525,255671,119424,119592,16655,0.4671,0.4678,0.0651,0.5322,0.0485,0.2571,0.6322,1.6795,0.8939,0.0183,0.1493,7
0.1,0.55,255671,119424,122110,14137,0.4671,0.4776,0.0553,0.5224,0.0485,0.2628,0.6494,1.5651,0.8176,0.0156,0.1469,7
0.1,0.575,255671,119424,124303,11944,0.4671,0.4862,0.0467,0.5138,0.0485,0.2683,0.6633,1.415,0.7271,0.0134,0.1472,7
0.1,0.6,255671,119424,126289,9958,0.4671,0.494,0.0389,0.506,0.0485,0.2731,0.6822,1.2682,0.6418,0.0112,0.1456,7
0.1,0.625,255671,119424,127977,8270,0.4671,0.5006,0.0323,0.4994,0.0485,0.2769,0.7062,1.1387,0.5687,0.0091,0.1412,7
0.1,0.65,255671,119424,129368,6879,0.4671,0.506,0.0269,0.494,0.0485,0.2801,0.7331,1.0333,0.5104,0.0074,0.1359,7
0.1,0.675,255671,119424,130575,5672,0.4671,0.5107,0.0222,0.4893,0.0485,0.2832,0.7576,0.9311,0.4556,0.0059,0.1301,7
0.1,0.7,255671,119424,131546,4701,0.4671,0.5145,0.0184,0.4855,0.0485,0.2858,0.7828,0.8323,0.4041,0.0046,0.1219,7
0.1,0.725,255671,119424,132434,3813,0.4671,0.518,0.0149,0.482,0.0485,0.2885,0.8059,0.725,0.3495,0.0036,0.1151,7
0.1,0.75,255671,119424,133213,3034,0.4671,0.521,0.0119,0.479,0.0485,0.2911,0.8253,0.6247,0.2992,0.0027,0.1084,7
0.1,0.775,255671,119424,133871,2376,0.4671,0.5236,0.0093,0.4764,0.0485,0.2933,0.8464,0.5337,0.2542,0.0019,0.0993,7
